State,StateCode,PmntTot,RxCnt
Alabama,AL,269.6589422929738,53.1208
Alaska,AK,234.2940490430621,33.5000
Arizona,AZ,487.0344315554157,45.0127
Arkansas,AR,187.54427121901395,45.9996
California,CA,471.74179318936666,61.8044
Colorado,CO,522.959303739476,39.6254
Connecticut,CT,467.79231121836557,48.7270
Delaware,DE,292.50846771602943,43.0989
District of Columbia,DC,945.6617849851511,43.0529
Florida,FL,372.0773838577342,55.5014
Georgia,GA,329.2322920272596,52.3706
Hawaii,HI,331.73242629770266,51.0551
Idaho,ID,396.8342918275418,39.1656
Illinois,IL,418.37109295207995,44.7833
Indiana,IN,293.82812263053836,47.5014
Iowa,IA,331.4040990035045,48.7158
Kansas,KS,327.82084750277255,42.1266
Kentucky,KY,377.0387919864103,53.6724
Louisiana,LA,236.3943537785905,51.0380
Maine,ME,338.9228811244983,44.6381
Maryland,MD,366.7168891405561,37.6499
Massachusetts,MA,486.18354891792256,48.6252
Michigan,MI,347.54175584884587,46.3104
Minnesota,MN,1562.1801954022965,58.8579
Mississippi,MS,287.7763263229308,50.0123
Missouri,MO,456.1768289692369,53.3421
Montana,MT,271.7527407407411,36.6519
Nebraska,NE,377.90865078601183,42.9155
Nevada,NV,535.2407478046092,42.5123
New Hampshire,NH,649.9282520621063,44.2933
New Jersey,NJ,411.6198120292057,50.5181
New Mexico,NM,356.35699216087255,44.2871
New York,NY,533.0297517077024,57.5374
North Carolina,NC,426.243773018163,50.4120
North Dakota,ND,473.49418082696116,41.3883
Ohio,OH,390.1752658311128,47.6939
Oklahoma,OK,328.1951995614048,48.3624
Oregon,OR,450.9749617450155,41.1437
Pennsylvania,PA,359.49343711471107,49.5871
Rhode Island,RI,748.8388171202155,52.4129
South Carolina,SC,262.858360122982,45.3548
South Dakota,SD,911.0133104768942,41.0801
Tennessee,TN,374.53704935432626,49.3693
Texas,TX,438.94358037720013,51.6086
Utah,UT,602.6570189735846,39.4436
Vermont,VT,1770.5778514056235,42.8313
Virginia,VA,283.9871622012847,43.4684
Washington,WA,609.6582935729846,40.4407
West Virginia,WV,221.0713855671332,52.9852
Wisconsin,WI,626.7874171851147,48.8253
Wyoming,WY,132.97337989723826,40.1214
